avgMonthlyIncome,incomeCV,expenseRatio,emiRatio,avgMonthlyBalance,bounceCount,accountAgeMonths,anomaly_score,anomalyFlag
406779.23,0.036,0.366,0.096,268581.5,0,112,0.13362893835835205,0
330729.62,0.042,0.33,0.17,315821.85,0,82,0.14897982659453002,0
508543.12,0.047,0.269,0.149,103058.48,0,114,0.09472534244330255,0
422779.45,0.03,0.347,0.193,137837.64,0,77,0.14903680806422154,0
285808.12,0.036,0.372,0.248,148551.07,0,98,0.17994250382042337,0
297676.69,0.022,0.268,0.13,278042.0,0,92,0.12393217147377444,0
285634.38,0.024,0.398,0.1,279576.82,0,115,0.14521315420863146,0
318777.07,0.022,0.344,0.098,163768.81,0,78,0.1497615569022544,0
486485.96,0.045,0.446,0.077,639332.39,0,83,0.0320548797571889,0
488219.59,0.033,0.347,0.153,220490.1,0,76,0.13488067724970026,0
348895.16,0.032,0.478,0.059,282346.52,0,96,0.12232630681986106,0
501077.45,0.041,0.379,0.204,204076.24,1,86,0.09145150784315936,0
514361.53,0.036,0.274,0.173,474018.15,0,108,0.07336144839953562,0
478749.28,0.039,0.352,0.145,358708.14,0,118,0.13114209504914504,0
418885.43,0.042,0.376,0.17,158763.09,0,111,0.15922794149045244,0
295418.89,0.021,0.366,0.121,166054.06,0,104,0.16378602314788965,0
489932.86,0.022,0.318,0.182,274653.71,0,103,0.11953621035280343,0
511479.15,0.037,0.368,0.201,108461.86,0,116,0.11870537537120768,0
482121.03,0.026,0.311,0.156,582619.49,0,80,0.05983106512198566,0
301906.62,0.028,0.347,0.077,213012.66,1,83,0.09892030832705595,0
297127.21,0.046,0.404,0.199,257456.09,0,80,0.16871947993681347,0
431745.02,0.025,0.367,0.023,219682.74,0,97,0.10385202512716724,0
354773.66,0.024,0.342,0.194,384336.66,1,119,0.0818824935200212,0
519907.39,0.037,0.362,0.15,439950.74,0,105,0.09785270416661851,0
444568.05,0.042,0.337,0.181,165498.42,1,76,0.10489889264084695,0
475176.06,0.023,0.282,0.147,173811.86,0,86,0.12183025369834616,0
477963.64,0.042,0.338,0.162,134994.27,0,75,0.14225423328071513,0
420796.12,0.034,0.335,0.165,455445.71,0,112,0.11303880745369926,0
427955.97,0.049,0.394,0.103,313831.7,0,115,0.11991216739001698,0
301243.46,0.023,0.371,0.118,98289.09,0,110,0.16322790081432315,0
311396.44,0.047,0.282,0.147,326718.82,0,93,0.12883105912229464,0
327838.18,0.042,0.246,0.078,285944.86,0,106,0.09902349458929416,0
396610.61,0.023,0.363,0.16,325232.09,0,98,0.1396573048559186,0
485773.04,0.04,0.386,0.118,342459.57,0,86,0.11653324284644123,0
512770.44,0.047,0.415,0.269,471083.52,1,108,0.04263527728300487,0
374324.26,0.048,0.362,0.215,130980.55,0,91,0.16793734089021656,0
479979.42,0.029,0.39,0.184,437472.61,0,114,0.10142219915255507,0
476668.98,0.049,0.46,0.111,245424.34,0,76,0.1227568998651315,0
491853.22,0.033,0.361,0.117,269378.44,0,96,0.12276496180679847,0
294181.91,0.025,0.372,0.274,285799.94,0,103,0.15098975500416184,0
358769.13,0.041,0.346,0.182,255545.78,0,91,0.15881841506864325,0
408266.85,0.026,0.411,0.232,195606.55,0,102,0.15436480271120628,0
306604.88,0.027,0.369,0.115,99013.07,0,112,0.1621070617534393,0
392600.3,0.05,0.348,0.056,473756.57,0,78,0.08282326318045519,0
427142.87,0.049,0.295,0.157,347524.56,0,73,0.12310619754244828,0
523029.37,0.029,0.347,0.155,271085.38,0,110,0.11684453445375526,0
485306.0,0.036,0.301,0.169,291826.59,0,89,0.1182172453283728,0
406328.81,0.036,0.392,0.166,309008.67,0,90,0.1452735748607461,0
294244.82,0.033,0.343,0.067,272347.8,1,84,0.0872924372938606,0
351236.69,0.032,0.403,0.224,154415.41,0,118,0.16555620277865096,0
505211.72,0.031,0.352,0.074,183564.06,0,88,0.10614249479936388,0
469792.42,0.034,0.324,0.241,114578.85,0,107,0.13363718243301181,0
421159.77,0.027,0.427,0.142,100522.54,0,82,0.14603749651742537,0
332690.58,0.036,0.331,0.18,238116.33,0,111,0.1611079690215385,0
499834.92,0.025,0.378,0.128,153558.48,1,92,0.07486102379596771,0
520653.0,0.044,0.378,0.113,545659.74,0,104,0.05891228964057549,0
511535.71,0.035,0.313,0.086,367897.5,0,114,0.09569295365783187,0
297625.85,0.041,0.309,0.125,231792.33,0,84,0.14856040947597982,0
302149.75,0.031,0.341,0.133,205864.49,0,90,0.16451747465014088,0
486486.1,0.03,0.305,0.078,537914.04,0,120,0.05419691265186666,0
480592.2,0.021,0.293,0.216,496611.15,0,114,0.07194934810769826,0
495477.45,0.029,0.392,0.144,351489.51,0,81,0.12296893831028849,0
409785.1,0.049,0.371,0.094,174255.95,0,95,0.1425537007535856,0
426041.22,0.029,0.391,0.14,380445.07,0,107,0.12374179124795176,0
345290.87,0.023,0.348,0.142,197743.02,0,116,0.1594375628355323,0
383798.48,0.028,0.436,0.194,293300.03,0,115,0.1415913275529373,0
285955.93,0.032,0.375,0.115,168852.44,0,115,0.1667480325084379,0
384451.26,0.045,0.503,0.168,389302.67,0,109,0.1297715230679911,0
435398.93,0.04,0.36,0.156,207021.87,1,102,0.10418643052602927,0
290153.62,0.047,0.423,0.241,187842.39,0,74,0.1809425767520984,0
326785.08,0.023,0.303,0.28,361319.27,0,94,0.1206435121957436,0
290337.72,0.041,0.328,0.183,87338.93,0,115,0.16881791150154535,0
506357.09,0.031,0.3,0.044,456646.69,0,83,0.053901508183295976,0
428165.62,0.04,0.381,0.143,182625.94,0,72,0.1497901982057831,0
288447.23,0.044,0.368,0.111,216551.55,0,82,0.1593253038615986,0
289529.07,0.025,0.36,0.169,254880.01,0,83,0.16551363268034341,0
498308.54,0.039,0.397,0.136,186057.88,0,100,0.12875844545492404,0
509043.53,0.024,0.379,0.196,150972.97,0,79,0.12027925613102686,0
417962.07,0.022,0.435,0.156,254245.49,0,92,0.13924130986035455,0
400259.31,0.046,0.418,0.0,120653.97,0,105,0.11982723133825263,0
466048.49,0.048,0.394,0.069,378240.25,1,118,0.05123646991956898,0
402380.33,0.033,0.373,0.126,239973.01,0,117,0.14580790251693365,0
497552.96,0.034,0.36,0.147,265659.09,0,118,0.12548770216691718,0
483326.61,0.032,0.397,0.227,391708.24,0,93,0.1112763807463471,0
381284.0,0.021,0.405,0.114,154982.28,0,116,0.14717367917739294,0
352563.84,0.046,0.411,0.095,311365.5,0,98,0.13081062081723538,0
439088.33,0.045,0.323,0.198,430991.19,0,102,0.11132026965680802,0
498261.32,0.043,0.375,0.113,220526.96,0,112,0.12160716773626429,0
296539.41,0.023,0.36,0.037,315924.33,0,100,0.11150836516014934,0
508193.74,0.028,0.413,0.095,179760.39,0,93,0.11194762834615235,0
360177.71,0.038,0.325,0.074,291767.98,0,76,0.12108308543436985,0
349825.82,0.029,0.323,0.227,297092.9,0,82,0.14407204527662298,0
307908.77,0.032,0.398,0.092,186217.49,0,83,0.15374576860032302,0
286680.5,0.034,0.272,0.191,217562.02,0,76,0.14722277303827136,0
346119.7,0.042,0.324,0.226,364604.79,0,105,0.13484250299843498,0
288097.5,0.041,0.208,0.183,358436.53,0,88,0.11121023368170951,0
513070.62,0.033,0.376,0.11,217189.07,1,93,0.06909272712594794,0
303732.74,0.039,0.365,0.148,168865.88,1,115,0.13218738586241957,0
334028.79,0.024,0.247,0.093,241239.83,0,90,0.10087285319823402,0
481981.78,0.024,0.292,0.093,548026.59,0,103,0.053198182603169664,0
309302.37,0.026,0.265,0.148,197942.43,0,105,0.13727771189291788,0
494990.44,0.022,0.258,0.088,107974.85,1,87,0.030918273731036616,0
359975.44,0.032,0.334,0.242,180375.0,0,117,0.16310514869998127,0
325247.82,0.044,0.332,0.084,235245.21,0,102,0.1429516068137306,0
520418.09,0.036,0.385,0.158,536816.37,0,117,0.0662810693523469,0
308535.25,0.04,0.35,0.232,114341.16,0,118,0.17594663946948536,0
314307.95,0.027,0.276,0.158,146348.96,0,72,0.1460992540542646,0
492276.94,0.041,0.33,0.117,360479.44,0,85,0.11599706241631536,0
402371.98,0.022,0.444,0.209,310975.15,0,76,0.13231075626745986,0
489009.94,0.042,0.37,0.129,602858.86,0,93,0.061728387550054276,0
357290.8,0.04,0.327,0.152,298959.88,0,119,0.14640789217339178,0
384616.06,0.029,0.364,0.047,171381.79,0,81,0.1311277930707178,0
301219.19,0.048,0.348,0.175,150211.23,0,74,0.17897117519842903,0
293216.67,0.031,0.324,0.087,348538.28,0,92,0.12807956315167018,0
307177.91,0.024,0.401,0.158,144633.02,0,118,0.17378246876086423,0
514183.33,0.032,0.371,0.085,156772.41,0,77,0.1083178854765785,0
312196.27,0.031,0.323,0.102,202282.23,0,92,0.14828692059732806,0
374494.61,0.03,0.382,0.089,388904.3,0,114,0.11545237637627592,0
396061.48,0.022,0.407,0.087,336505.23,0,100,0.11725433698208426,0
293434.83,0.034,0.384,0.163,198778.92,1,118,0.133232958425896,0
411822.46,0.036,0.421,0.11,417273.73,0,103,0.1061102873597023,0
476120.92,0.027,0.278,0.172,319012.55,0,119,0.10767016129692125,0
287927.44,0.036,0.33,0.116,262103.06,0,84,0.14745660279022332,0
506721.54,0.05,0.407,0.235,302256.15,0,111,0.11382346070473348,0
307358.95,0.044,0.263,0.195,77479.56,0,77,0.1400754686651467,0
358189.92,0.044,0.281,0.164,310127.85,0,89,0.13056303812684927,0
489396.08,0.038,0.348,0.175,263747.94,0,82,0.12983264915183168,0
320554.42,0.033,0.419,0.159,247643.86,1,82,0.11874155277174459,0
342287.29,0.031,0.304,0.164,240355.92,0,80,0.1503654190963326,0
369255.64,0.041,0.298,0.101,417609.65,0,72,0.09651154951969398,0
314349.32,0.039,0.394,0.159,165767.56,0,103,0.1750257517452486,0
306191.28,0.029,0.409,0.133,86309.85,0,88,0.16736550406710154,0
298789.33,0.028,0.374,0.162,328981.48,0,104,0.14962486883744258,0
387807.55,0.025,0.421,0.146,174730.44,0,96,0.15795562757263742,0
387245.95,0.045,0.313,0.205,376317.26,0,102,0.1279448102202585,0
464789.15,0.035,0.284,0.137,239510.02,0,74,0.12242301493573687,0
522128.32,0.049,0.377,0.145,211811.64,0,109,0.12406324176406058,0
311224.29,0.023,0.335,0.149,284577.21,0,85,0.15230512695089682,0
410974.4,0.042,0.286,0.206,457858.75,0,105,0.0923583080570809,0
327089.86,0.05,0.489,0.175,143132.94,0,73,0.17463290767093437,0
486310.38,0.049,0.366,0.069,419257.07,0,80,0.08838855611357088,0
473578.25,0.037,0.323,0.108,556191.08,0,72,0.06661237695110689,0
298126.0,0.034,0.373,0.065,65390.27,1,113,0.1029134202200655,0
416894.19,0.038,0.376,0.14,405443.62,1,114,0.0778871919061831,0
411995.45,0.04,0.343,0.102,194220.84,1,113,0.09100973753516006,0
492192.23,0.03,0.375,0.185,232950.35,0,110,0.1300431030918286,0
315390.74,0.038,0.343,0.16,198962.33,0,113,0.16803654851872885,0
403402.06,0.042,0.332,0.142,229696.24,0,104,0.1549191884612664,0
325540.12,0.027,0.246,0.169,224560.42,0,115,0.12371013738201875,0
485152.2,0.041,0.371,0.056,117603.31,1,103,0.06331356326698767,0
344742.18,0.046,0.342,0.112,184193.95,0,91,0.15227023180177796,0
489958.61,0.043,0.343,0.12,465343.99,0,79,0.0935641627312439,0
401091.94,0.047,0.348,0.195,143556.09,0,80,0.16062630752318108,0
415082.08,0.026,0.283,0.172,397175.34,0,79,0.11043729921465772,0
498868.32,0.032,0.389,0.205,116056.36,1,77,0.08522929149588787,0
483673.7,0.036,0.354,0.2,251437.41,1,111,0.090468718486297,0
366424.83,0.036,0.329,0.147,382376.08,0,83,0.13286462329830817,0
481153.8,0.038,0.324,0.15,379880.45,1,86,0.07147254423322913,0
360036.89,0.048,0.35,0.094,171646.37,0,102,0.151801395026969,0
301657.62,0.028,0.331,0.202,329213.64,0,114,0.14525017787381234,0
483688.85,0.035,0.365,0.205,371135.22,0,88,0.11944185386086031,0
417852.91,0.035,0.277,0.116,193272.31,0,77,0.11798897952374632,0
302107.98,0.029,0.323,0.153,108890.19,0,106,0.1655409175471242,0
296857.5,0.036,0.344,0.119,162400.31,0,111,0.16114620420040549,0
289323.14,0.033,0.339,0.164,255415.95,0,100,0.16594232324087865,0
404732.27,0.032,0.277,0.128,141773.97,0,72,0.12618214479755602,0
305560.86,0.038,0.352,0.133,319548.62,0,86,0.14615691990094826,0
303571.61,0.027,0.308,0.125,304383.49,0,90,0.12915960890228084,0
488712.75,0.022,0.303,0.189,293595.51,0,82,0.11302123623257843,0
353894.45,0.029,0.452,0.118,281615.46,0,97,0.13719149792559243,0
382194.47,0.041,0.365,0.061,185503.6,0,89,0.13649761819750017,0
423360.58,0.025,0.319,0.121,352548.34,0,82,0.1249992818496744,0
292993.77,0.047,0.331,0.198,146291.79,0,118,0.17342197480816351,0
301708.6,0.024,0.366,0.107,75653.72,0,80,0.15610693087164373,0
487891.96,0.025,0.344,0.168,593850.81,0,110,0.06581390810571963,0
308098.82,0.03,0.444,0.103,64101.75,0,83,0.15191481016104763,0
325821.12,0.04,0.257,0.164,229358.34,1,101,0.09040403532095387,0
449685.75,0.024,0.352,0.098,261854.71,0,104,0.12114301502362612,0
495203.74,0.042,0.413,0.226,405433.06,0,93,0.10703602554849423,0
420982.58,0.035,0.353,0.143,462248.84,0,119,0.1100320225658406,0
498609.98,0.043,0.448,0.185,338603.58,0,77,0.11207611086302516,0
475044.93,0.025,0.386,0.199,493281.78,0,84,0.08381882990639644,0
499860.92,0.023,0.408,0.156,328700.25,0,78,0.11715213216724096,0
509895.87,0.023,0.433,0.143,282529.57,0,74,0.11183608686966912,0
423451.69,0.037,0.338,0.076,322117.36,0,98,0.12100790058455907,0
294688.92,0.04,0.367,0.135,369959.03,0,119,0.14131567602259465,0
324161.74,0.045,0.371,0.182,245585.01,0,93,0.16509826580838494,0
308835.54,0.033,0.344,0.159,141078.38,1,76,0.12973293740749142,0
520882.13,0.032,0.374,0.152,339094.77,0,76,0.1157123086068072,0
332111.18,0.023,0.296,0.082,354105.4,0,111,0.1121623957036712,0
475789.96,0.032,0.367,0.155,588479.18,0,109,0.0690162623618612,0
380430.89,0.049,0.37,0.192,106669.61,0,119,0.16228862607847133,0
502275.09,0.032,0.427,0.138,534616.16,0,100,0.06974941761576403,0
507591.64,0.043,0.314,0.174,295430.37,0,99,0.11304308111692829,0
350528.98,0.029,0.322,0.21,199927.78,0,79,0.15779812907063856,0
357317.42,0.049,0.35,0.141,419501.59,0,89,0.11962012191761023,0
350889.47,0.043,0.325,0.133,184856.01,0,100,0.15950498063524426,0
307047.31,0.028,0.384,0.143,259077.87,0,91,0.16155836350676528,0
411757.23,0.043,0.365,0.066,226894.43,0,107,0.12950038031864286,0
491802.58,0.021,0.383,0.146,166256.94,0,94,0.13156880068096316,0
337855.72,0.023,0.394,0.186,299697.51,0,80,0.1478466971106741,0
374493.28,0.047,0.363,0.182,394455.22,1,78,0.08447434042797797,0
317144.55,0.024,0.373,0.082,284503.26,0,95,0.13593685463648542,0
499194.45,0.038,0.416,0.099,403385.34,1,90,0.0460208342339945,0
469379.95,0.022,0.369,0.172,522358.51,0,84,0.0817103812847444,0
423228.28,0.047,0.336,0.192,171785.55,0,113,0.15423219098698976,0
430689.0,0.029,0.298,0.13,419121.99,1,75,0.0462223927648876,0
381782.62,0.028,0.309,0.102,80329.92,0,109,0.13292949388847614,0
511846.16,0.022,0.363,0.21,219374.63,0,99,0.11396365509533918,0
295603.74,0.038,0.276,0.117,185712.85,0,113,0.13060896873814232,0
289750.32,0.042,0.31,0.0,336106.48,0,79,0.09144931270689427,0
506921.61,0.048,0.318,0.179,291594.31,1,90,0.07599774136351167,0
412596.36,0.043,0.254,0.195,410102.83,0,92,0.09495958809043381,0
520332.34,0.046,0.33,0.141,537229.57,0,73,0.06822658987049346,0
412011.51,0.049,0.296,0.223,167424.72,2,77,0.05879720824153278,0
516823.27,0.034,0.355,0.157,550833.61,0,106,0.06797487691120097,0
305430.44,0.049,0.396,0.191,198863.87,0,81,0.17371745260446098,0
290972.85,0.031,0.365,0.138,81958.57,0,87,0.16806084754768685,0
385100.57,0.03,0.367,0.154,176730.47,0,117,0.16093157462997226,0
492794.91,0.037,0.465,0.123,259365.44,0,109,0.11786735195356546,0
484441.38,0.044,0.413,0.158,328896.59,0,117,0.12488037474470237,0
287505.2,0.033,0.288,0.143,228328.04,0,78,0.14888549318827005,0
494621.61,0.047,0.394,0.0,383589.95,0,86,0.07586879330794816,0
308157.61,0.034,0.2,0.174,189869.9,0,87,0.1287988650646224,0
458233.73,0.021,0.349,0.155,363661.54,0,108,0.12433480784755868,0
332630.59,0.047,0.411,0.127,227812.59,0,100,0.15853733894804528,0
496304.2,0.038,0.389,0.153,160739.97,0,91,0.12955771336219868,0
297041.14,0.044,0.338,0.101,236781.9,0,72,0.1518559096918498,0
311748.93,0.043,0.32,0.24,220411.83,0,76,0.164047583796197,0
492265.59,0.048,0.391,0.148,256091.39,0,95,0.13304887115928882,0
355372.99,0.032,0.331,0.111,320043.7,0,74,0.13117368607694974,0
293358.25,0.036,0.321,0.127,140928.42,0,97,0.16168240921312022,0
306963.56,0.041,0.276,0.207,294190.52,0,85,0.13696327112002815,0
287841.03,0.024,0.341,0.161,99109.18,0,117,0.17361740668993397,0
439697.67,0.042,0.405,0.082,512014.11,0,116,0.07471095937223526,0
309084.25,0.026,0.349,0.175,83131.27,0,81,0.16893667469782353,0
480414.08,0.029,0.347,0.186,255062.07,0,81,0.13099773873531206,0
486315.65,0.038,0.392,0.07,514917.43,0,83,0.06547657461198053,0
498578.73,0.048,0.351,0.141,461325.11,0,85,0.09542133577973694,0
366442.35,0.038,0.347,0.144,365367.03,0,91,0.13795734223672312,0
479211.95,0.022,0.353,0.07,258309.66,0,120,0.10910216205819329,0
460743.15,0.037,0.279,0.138,95340.96,0,107,0.11703918801741514,0
493873.48,0.034,0.411,0.174,261002.63,0,104,0.12370320090727899,0
494335.26,0.046,0.28,0.157,528616.53,0,109,0.0691640274095715,0
299597.14,0.048,0.338,0.196,165234.59,0,99,0.1733532132929929,0
485087.46,0.022,0.389,0.191,336574.71,0,86,0.1144373724765716,0
515674.29,0.027,0.329,0.168,558615.4,0,85,0.06360116688793016,0
479056.64,0.042,0.438,0.147,249309.7,0,77,0.1317030282325266,0
298303.35,0.034,0.36,0.153,261773.0,0,75,0.16258747789990424,0
309179.07,0.046,0.367,0.137,286048.04,0,99,0.156296895774783,0
303437.26,0.025,0.33,0.165,178288.72,0,91,0.16977533079253637,0
303480.44,0.045,0.342,0.154,296830.39,0,99,0.1527669471506533,0
302118.98,0.042,0.373,0.117,358150.3,0,96,0.1366749139321003,0
298955.83,0.04,0.315,0.081,204739.1,0,81,0.14529124780278657,0
445838.66,0.022,0.383,0.185,482799.59,0,74,0.08761534800672244,0
506631.74,0.02,0.361,0.163,336892.44,0,98,0.11712305846595117,0
291497.93,0.048,0.424,0.175,92921.18,0,82,0.1788263621586365,0
401511.67,0.048,0.425,0.222,306518.6,0,110,0.1432483534095716,0
399587.53,0.04,0.346,0.086,367188.81,0,90,0.1191555480193629,0
481018.62,0.047,0.411,0.169,155751.32,0,73,0.13455654824685448,0
311350.67,0.031,0.313,0.13,85736.24,0,78,0.1559642619827315,0
310628.53,0.035,0.338,0.101,212153.81,0,113,0.15143083144099018,0
444934.08,0.029,0.399,0.166,94992.64,0,96,0.1430540933087684,0
376454.61,0.031,0.327,0.085,401761.98,0,91,0.10920576815244071,0
495499.33,0.035,0.309,0.19,103874.88,0,109,0.11345885659096683,0
310417.82,0.038,0.38,0.137,293606.56,0,79,0.15607116972257246,0
366364.23,0.038,0.335,0.275,202180.24,0,87,0.15395549614475718,0
355965.35,0.036,0.346,0.106,433631.92,0,106,0.1088945789846788,0
392562.0,0.035,0.399,0.088,205976.64,0,103,0.13937375717647976,0
292297.11,0.048,0.327,0.038,155073.97,0,75,0.13601636944365236,0
515509.23,0.022,0.368,0.096,199217.81,0,109,0.10915436184689237,0
334731.43,0.034,0.356,0.163,263569.69,0,99,0.16118489413018988,0
503561.18,0.032,0.45,0.108,354402.99,1,105,0.05781414487564129,0
368009.6,0.041,0.324,0.022,245393.17,0,106,0.1130353110933302,0
518669.27,0.044,0.295,0.182,176582.19,0,87,0.1119376946035941,0
311179.09,0.044,0.456,0.176,208290.13,0,116,0.17445958463188765,0
498692.82,0.028,0.352,0.125,179540.69,0,113,0.12341478267942319,0
293662.65,0.031,0.372,0.119,95192.25,0,100,0.16474489900202194,0
485292.48,0.045,0.391,0.201,234089.12,0,114,0.13329516978590206,0
501637.04,0.049,0.303,0.118,505193.84,0,112,0.07242953320895429,0
401507.69,0.045,0.353,0.195,476617.83,0,116,0.1081656158510872,0
325652.54,0.026,0.302,0.218,303074.47,0,100,0.13678152371081287,0
484106.16,0.03,0.382,0.082,433910.78,0,96,0.09226180591640254,0
465618.5,0.022,0.357,0.172,301739.89,0,107,0.1285960344290819,0
507599.0,0.039,0.324,0.251,380655.0,0,86,0.09953665945109719,0
521237.54,0.03,0.345,0.185,576817.61,0,89,0.055012273279825386,0
523173.24,0.025,0.321,0.116,341656.97,0,79,0.10178971295598127,0
319808.51,0.023,0.382,0.08,128575.21,0,72,0.1534143098146084,0
310384.43,0.038,0.339,0.18,310551.67,0,85,0.15322212365268495,0
323773.74,0.047,0.271,0.126,264882.28,1,92,0.0802404557599612,0
505607.62,0.027,0.355,0.093,479525.1,0,102,0.07866791213533408,0
305709.92,0.039,0.405,0.176,126198.03,0,104,0.17891917415153719,0
505884.74,0.03,0.383,0.147,467489.69,0,84,0.08877215417716755,0
416558.52,0.023,0.345,0.187,475004.83,1,91,0.059201556892522045,0
480821.84,0.033,0.316,0.11,638040.28,0,116,0.04683681752523838,0
491488.01,0.032,0.272,0.053,254067.95,0,97,0.08279736779924496,0
409142.74,0.029,0.292,0.075,161379.82,0,73,0.11737678416905944,0
484465.46,0.022,0.282,0.146,206300.65,0,111,0.11531077568176934,0
331619.35,0.03,0.357,0.178,356583.69,0,119,0.14500478133640127,0
510886.13,0.042,0.294,0.195,268161.17,0,78,0.11024987087194599,0
311932.82,0.039,0.388,0.173,63100.01,0,95,0.17052101895191107,0
325119.94,0.043,0.429,0.161,148457.8,0,109,0.17636642554733223,0
495966.52,0.023,0.315,0.226,468882.0,0,82,0.08155169049776034,0
332982.92,0.049,0.392,0.147,222064.62,0,77,0.16585514591937878,0
472498.56,0.023,0.367,0.056,263893.08,0,111,0.10595452566307773,0
513241.59,0.03,0.376,0.159,334932.27,0,88,0.11794177924221694,0
314753.62,0.04,0.342,0.178,150581.89,0,92,0.17323058946432301,0
340302.31,0.042,0.346,0.102,63628.57,0,104,0.15070448794164532,0
423817.53,0.032,0.28,0.114,452632.17,0,106,0.08038001871056377,0
324566.25,0.044,0.297,0.147,390131.9,0,118,0.12284549032076325,0
321329.17,0.049,0.349,0.221,323717.64,0,95,0.1475352038770662,0
324048.03,0.028,0.415,0.121,278644.95,0,115,0.14544149225977954,0
312302.72,0.042,0.343,0.189,424250.52,0,110,0.12733789308712246,0
497593.67,0.025,0.441,0.165,193079.91,0,105,0.12305967162729858,0
304603.87,0.037,0.361,0.141,154011.27,0,86,0.17107049881549014,0
493780.83,0.045,0.312,0.164,513936.51,0,106,0.08293060180075651,0
292394.42,0.038,0.331,0.102,103314.61,0,99,0.15555214613330143,0
468723.04,0.023,0.346,0.189,442998.23,0,95,0.09915957809346326,0
463282.81,0.048,0.332,0.212,561087.47,0,112,0.07044049855942724,0
496394.24,0.035,0.388,0.164,478098.62,0,72,0.09337677440263437,0
302212.35,0.043,0.285,0.156,271165.88,0,118,0.1406413345327775,0
402418.07,0.032,0.283,0.193,215193.81,0,110,0.1364235881470855,0
522641.06,0.044,0.328,0.104,559987.68,0,83,0.05201162090943334,0
294620.45,0.033,0.481,0.168,305596.06,0,85,0.15073830877235106,0
433081.11,0.047,0.341,0.056,329753.39,0,107,0.11014379304481936,0
407106.77,0.036,0.378,0.121,237700.05,0,100,0.1457207847979276,0
355958.87,0.025,0.312,0.046,300192.52,0,88,0.10503402155408481,0
393857.42,0.037,0.337,0.142,142684.96,0,93,0.15941240079865598,0
480996.58,0.02,0.355,0.156,346658.08,0,81,0.12387052696356515,0
313739.87,0.041,0.294,0.17,175596.06,0,108,0.15844950777021966,0
501654.45,0.045,0.321,0.173,195909.3,0,105,0.12709917966071504,0
514641.44,0.036,0.349,0.125,583098.69,0,90,0.054544191437389755,0
435487.96,0.043,0.406,0.115,209524.26,0,79,0.13626205724243795,0
336554.77,0.022,0.386,0.107,169608.17,0,114,0.15379201759022376,0
483597.24,0.026,0.365,0.14,412290.0,0,88,0.10894050420390711,0
312025.81,0.036,0.409,0.163,390237.6,0,93,0.13919614454451718,0
286330.05,0.026,0.333,0.265,288431.06,0,109,0.14767543229950236,0
288241.31,0.044,0.374,0.216,375908.8,0,83,0.14200000466398155,0
504162.87,0.041,0.335,0.179,123095.95,0,75,0.1213544003862907,0
482471.69,0.046,0.423,0.18,465666.83,0,96,0.092493445082653,0
516772.9,0.048,0.386,0.14,159457.58,0,82,0.12312796019587924,0
304797.83,0.033,0.315,0.174,375829.65,0,113,0.13719195418017321,0
518468.49,0.03,0.367,0.141,334165.15,1,118,0.07127498838038737,0
302895.31,0.037,0.439,0.119,62535.94,0,98,0.15858076783132252,0
394990.96,0.028,0.424,0.105,448842.51,0,102,0.09522256209690855,0
287520.62,0.05,0.344,0.18,128764.83,0,73,0.17866593012811366,0
487382.68,0.038,0.321,0.203,390062.47,0,75,0.11274500477713761,0
293535.36,0.022,0.342,0.176,265544.48,0,80,0.15839270959048707,0
