avgMonthlyIncome,incomeCV,expenseRatio,emiRatio,avgMonthlyBalance,bounceCount,accountAgeMonths,RuleBasedCreditScore
486485.96,0.045,0.446,0.077,639332.39,0,83,797
488219.59,0.033,0.347,0.153,220490.1,0,76,768
348895.16,0.032,0.478,0.059,282346.52,0,96,765
501077.45,0.041,0.379,0.204,204076.24,1,86,698
514361.53,0.036,0.274,0.173,474018.15,0,108,785
478749.28,0.039,0.352,0.145,358708.14,0,118,798
418885.43,0.042,0.376,0.17,158763.09,0,111,833
295418.89,0.021,0.366,0.121,166054.06,0,104,812
489932.86,0.022,0.318,0.182,274653.71,0,103,791
511479.15,0.037,0.368,0.201,108461.86,0,116,788
482121.03,0.026,0.311,0.156,582619.49,0,80,805
301906.62,0.028,0.347,0.077,213012.66,1,83,744
297127.21,0.046,0.404,0.199,257456.09,0,80,789
431745.02,0.025,0.367,0.023,219682.74,0,97,779
354773.66,0.024,0.342,0.194,384336.66,1,119,763
519907.39,0.037,0.362,0.15,439950.74,0,105,803
444568.05,0.042,0.337,0.181,165498.42,1,76,696
475176.06,0.023,0.282,0.147,173811.86,0,86,818
477963.64,0.042,0.338,0.162,134994.27,0,75,780
420796.12,0.034,0.335,0.165,455445.71,0,112,783
427955.97,0.049,0.394,0.103,313831.7,0,115,805
301243.46,0.023,0.371,0.118,98289.09,0,110,752
311396.44,0.047,0.282,0.147,326718.82,0,93,777
327838.18,0.042,0.246,0.078,285944.86,0,106,802
396610.61,0.023,0.363,0.16,325232.09,0,98,828
485773.04,0.04,0.386,0.118,342459.57,0,86,802
512770.44,0.047,0.415,0.269,471083.52,1,108,748
374324.26,0.048,0.362,0.215,130980.55,0,91,790
479979.42,0.029,0.39,0.184,437472.61,0,114,787
476668.98,0.049,0.46,0.111,245424.34,0,76,779
491853.22,0.033,0.361,0.117,269378.44,0,96,813
294181.91,0.025,0.372,0.274,285799.94,0,103,777
358769.13,0.041,0.346,0.182,255545.78,0,91,774
408266.85,0.026,0.411,0.232,195606.55,0,102,761
306604.88,0.027,0.369,0.115,99013.07,0,112,799
392600.3,0.05,0.348,0.056,473756.57,0,78,770
427142.87,0.049,0.295,0.157,347524.56,0,73,814
523029.37,0.029,0.347,0.155,271085.38,0,110,806
485306.0,0.036,0.301,0.169,291826.59,0,89,821
406328.81,0.036,0.392,0.166,309008.67,0,90,774
294244.82,0.033,0.343,0.067,272347.8,1,84,772
351236.69,0.032,0.403,0.224,154415.41,0,118,790
505211.72,0.031,0.352,0.074,183564.06,0,88,779
469792.42,0.034,0.324,0.241,114578.85,0,107,790
421159.77,0.027,0.427,0.142,100522.54,0,82,846
332690.58,0.036,0.331,0.18,238116.33,0,111,821
499834.92,0.025,0.378,0.128,153558.48,1,92,782
520653.0,0.044,0.378,0.113,545659.74,0,104,791
511535.71,0.035,0.313,0.086,367897.5,0,114,801
297625.85,0.041,0.309,0.125,231792.33,0,84,813
302149.75,0.031,0.341,0.133,205864.49,0,90,830
486486.1,0.03,0.305,0.078,537914.04,0,120,791
480592.2,0.021,0.293,0.216,496611.15,0,114,827
495477.45,0.029,0.392,0.144,351489.51,0,81,802
409785.1,0.049,0.371,0.094,174255.95,0,95,785
426041.22,0.029,0.391,0.14,380445.07,0,107,788
345290.87,0.023,0.348,0.142,197743.02,0,116,819
383798.48,0.028,0.436,0.194,293300.03,0,115,823
285955.93,0.032,0.375,0.115,168852.44,0,115,814
384451.26,0.045,0.503,0.168,389302.67,0,109,778
435398.93,0.04,0.36,0.156,207021.87,1,102,722
290153.62,0.047,0.423,0.241,187842.39,0,74,777
326785.08,0.023,0.303,0.28,361319.27,0,94,811
290337.72,0.041,0.328,0.183,87338.93,0,115,808
506357.09,0.031,0.3,0.044,456646.69,0,83,795
428165.62,0.04,0.381,0.143,182625.94,0,72,772
288447.23,0.044,0.368,0.111,216551.55,0,82,824
289529.07,0.025,0.36,0.169,254880.01,0,83,819
498308.54,0.039,0.397,0.136,186057.88,0,100,813
509043.53,0.024,0.379,0.196,150972.97,0,79,793
417962.07,0.022,0.435,0.156,254245.49,0,92,828
400259.31,0.046,0.418,0.0,120653.97,0,105,756
466048.49,0.048,0.394,0.069,378240.25,1,118,762
402380.33,0.033,0.373,0.126,239973.01,0,117,827
497552.96,0.034,0.36,0.147,265659.09,0,118,818
483326.61,0.032,0.397,0.227,391708.24,0,93,824
381284.0,0.021,0.405,0.114,154982.28,0,116,746
352563.84,0.046,0.411,0.095,311365.5,0,98,815
439088.33,0.045,0.323,0.198,430991.19,0,102,782
498261.32,0.043,0.375,0.113,220526.96,0,112,823
296539.41,0.023,0.36,0.037,315924.33,0,100,793
508193.74,0.028,0.413,0.095,179760.39,0,93,827
360177.71,0.038,0.325,0.074,291767.98,0,76,829
349825.82,0.029,0.323,0.227,297092.9,0,82,832
307908.77,0.032,0.398,0.092,186217.49,0,83,766
286680.5,0.034,0.272,0.191,217562.02,0,76,784
346119.7,0.042,0.324,0.226,364604.79,0,105,795
288097.5,0.041,0.208,0.183,358436.53,0,88,793
513070.62,0.033,0.376,0.11,217189.07,1,93,775
303732.74,0.039,0.365,0.148,168865.88,1,115,758
334028.79,0.024,0.247,0.093,241239.83,0,90,797
481981.78,0.024,0.292,0.093,548026.59,0,103,864
309302.37,0.026,0.265,0.148,197942.43,0,105,783
494990.44,0.022,0.258,0.088,107974.85,1,87,732
359975.44,0.032,0.334,0.242,180375.0,0,117,814
325247.82,0.044,0.332,0.084,235245.21,0,102,814
520418.09,0.036,0.385,0.158,536816.37,0,117,825
308535.25,0.04,0.35,0.232,114341.16,0,118,760
314307.95,0.027,0.276,0.158,146348.96,0,72,819
492276.94,0.041,0.33,0.117,360479.44,0,85,826
402371.98,0.022,0.444,0.209,310975.15,0,76,738
489009.94,0.042,0.37,0.129,602858.86,0,93,819
357290.8,0.04,0.327,0.152,298959.88,0,119,757
384616.06,0.029,0.364,0.047,171381.79,0,81,775
301219.19,0.048,0.348,0.175,150211.23,0,74,834
293216.67,0.031,0.324,0.087,348538.28,0,92,838
307177.91,0.024,0.401,0.158,144633.02,0,118,825
514183.33,0.032,0.371,0.085,156772.41,0,77,780
312196.27,0.031,0.323,0.102,202282.23,0,92,809
374494.61,0.03,0.382,0.089,388904.3,0,114,807
396061.48,0.022,0.407,0.087,336505.23,0,100,736
293434.83,0.034,0.384,0.163,198778.92,1,118,696
411822.46,0.036,0.421,0.11,417273.73,0,103,804
476120.92,0.027,0.278,0.172,319012.55,0,119,816
287927.44,0.036,0.33,0.116,262103.06,0,84,811
506721.54,0.05,0.407,0.235,302256.15,0,111,799
307358.95,0.044,0.263,0.195,77479.56,0,77,817
358189.92,0.044,0.281,0.164,310127.85,0,89,798
489396.08,0.038,0.348,0.175,263747.94,0,82,809
320554.42,0.033,0.419,0.159,247643.86,1,82,739
342287.29,0.031,0.304,0.164,240355.92,0,80,802
369255.64,0.041,0.298,0.101,417609.65,0,72,777
314349.32,0.039,0.394,0.159,165767.56,0,103,790
306191.28,0.029,0.409,0.133,86309.85,0,88,811
298789.33,0.028,0.374,0.162,328981.48,0,104,827
387807.55,0.025,0.421,0.146,174730.44,0,96,796
387245.95,0.045,0.313,0.205,376317.26,0,102,815
464789.15,0.035,0.284,0.137,239510.02,0,74,804
522128.32,0.049,0.377,0.145,211811.64,0,109,767
311224.29,0.023,0.335,0.149,284577.21,0,85,817
410974.4,0.042,0.286,0.206,457858.75,0,105,836
327089.86,0.05,0.489,0.175,143132.94,0,73,790
486310.38,0.049,0.366,0.069,419257.07,0,80,801
473578.25,0.037,0.323,0.108,556191.08,0,72,775
298126.0,0.034,0.373,0.065,65390.27,1,113,743
416894.19,0.038,0.376,0.14,405443.62,1,114,707
411995.45,0.04,0.343,0.102,194220.84,1,113,765
492192.23,0.03,0.375,0.185,232950.35,0,110,818
315390.74,0.038,0.343,0.16,198962.33,0,113,782
403402.06,0.042,0.332,0.142,229696.24,0,104,807
325540.12,0.027,0.246,0.169,224560.42,0,115,819
485152.2,0.041,0.371,0.056,117603.31,1,103,777
344742.18,0.046,0.342,0.112,184193.95,0,91,750
489958.61,0.043,0.343,0.12,465343.99,0,79,777
401091.94,0.047,0.348,0.195,143556.09,0,80,797
415082.08,0.026,0.283,0.172,397175.34,0,79,775
498868.32,0.032,0.389,0.205,116056.36,1,77,746
483673.7,0.036,0.354,0.2,251437.41,1,111,737
366424.83,0.036,0.329,0.147,382376.08,0,83,825
481153.8,0.038,0.324,0.15,379880.45,1,86,744
360036.89,0.048,0.35,0.094,171646.37,0,102,797
301657.62,0.028,0.331,0.202,329213.64,0,114,794
483688.85,0.035,0.365,0.205,371135.22,0,88,757
417852.91,0.035,0.277,0.116,193272.31,0,77,833
302107.98,0.029,0.323,0.153,108890.19,0,106,790
296857.5,0.036,0.344,0.119,162400.31,0,111,765
289323.14,0.033,0.339,0.164,255415.95,0,100,783
404732.27,0.032,0.277,0.128,141773.97,0,72,823
305560.86,0.038,0.352,0.133,319548.62,0,86,838
303571.61,0.027,0.308,0.125,304383.49,0,90,795
488712.75,0.022,0.303,0.189,293595.51,0,82,825
353894.45,0.029,0.452,0.118,281615.46,0,97,797
382194.47,0.041,0.365,0.061,185503.6,0,89,798
423360.58,0.025,0.319,0.121,352548.34,0,82,829
292993.77,0.047,0.331,0.198,146291.79,0,118,804
301708.6,0.024,0.366,0.107,75653.72,0,80,812
487891.96,0.025,0.344,0.168,593850.81,0,110,830
308098.82,0.03,0.444,0.103,64101.75,0,83,830
325821.12,0.04,0.257,0.164,229358.34,1,101,726
449685.75,0.024,0.352,0.098,261854.71,0,104,797
495203.74,0.042,0.413,0.226,405433.06,0,93,795
420982.58,0.035,0.353,0.143,462248.84,0,119,806
498609.98,0.043,0.448,0.185,338603.58,0,77,789
475044.93,0.025,0.386,0.199,493281.78,0,84,792
499860.92,0.023,0.408,0.156,328700.25,0,78,795
509895.87,0.023,0.433,0.143,282529.57,0,74,794
423451.69,0.037,0.338,0.076,322117.36,0,98,825
294688.92,0.04,0.367,0.135,369959.03,0,119,795
324161.74,0.045,0.371,0.182,245585.01,0,93,798
308835.54,0.033,0.344,0.159,141078.38,1,76,705
520882.13,0.032,0.374,0.152,339094.77,0,76,779
332111.18,0.023,0.296,0.082,354105.4,0,111,795
475789.96,0.032,0.367,0.155,588479.18,0,109,781
380430.89,0.049,0.37,0.192,106669.61,0,119,808
502275.09,0.032,0.427,0.138,534616.16,0,100,802
507591.64,0.043,0.314,0.174,295430.37,0,99,802
350528.98,0.029,0.322,0.21,199927.78,0,79,827
357317.42,0.049,0.35,0.141,419501.59,0,89,811
350889.47,0.043,0.325,0.133,184856.01,0,100,784
307047.31,0.028,0.384,0.143,259077.87,0,91,773
411757.23,0.043,0.365,0.066,226894.43,0,107,849
491802.58,0.021,0.383,0.146,166256.94,0,94,793
337855.72,0.023,0.394,0.186,299697.51,0,80,791
374493.28,0.047,0.363,0.182,394455.22,1,78,769
317144.55,0.024,0.373,0.082,284503.26,0,95,827
499194.45,0.038,0.416,0.099,403385.34,1,90,745
469379.95,0.022,0.369,0.172,522358.51,0,84,786
423228.28,0.047,0.336,0.192,171785.55,0,113,789
430689.0,0.029,0.298,0.13,419121.99,1,75,713
381782.62,0.028,0.309,0.102,80329.92,0,109,716
511846.16,0.022,0.363,0.21,219374.63,0,99,809
295603.74,0.038,0.276,0.117,185712.85,0,113,761
289750.32,0.042,0.31,0.0,336106.48,0,79,803
506921.61,0.048,0.318,0.179,291594.31,1,90,738
412596.36,0.043,0.254,0.195,410102.83,0,92,776
520332.34,0.046,0.33,0.141,537229.57,0,73,777
412011.51,0.049,0.296,0.223,167424.72,2,77,689
516823.27,0.034,0.355,0.157,550833.61,0,106,770
305430.44,0.049,0.396,0.191,198863.87,0,81,774
290972.85,0.031,0.365,0.138,81958.57,0,87,760
385100.57,0.03,0.367,0.154,176730.47,0,117,767
492794.91,0.037,0.465,0.123,259365.44,0,109,812
484441.38,0.044,0.413,0.158,328896.59,0,117,766
287505.2,0.033,0.288,0.143,228328.04,0,78,788
494621.61,0.047,0.394,0.0,383589.95,0,86,792
308157.61,0.034,0.2,0.174,189869.9,0,87,822
458233.73,0.021,0.349,0.155,363661.54,0,108,789
332630.59,0.047,0.411,0.127,227812.59,0,100,793
496304.2,0.038,0.389,0.153,160739.97,0,91,848
297041.14,0.044,0.338,0.101,236781.9,0,72,781
311748.93,0.043,0.32,0.24,220411.83,0,76,756
492265.59,0.048,0.391,0.148,256091.39,0,95,781
355372.99,0.032,0.331,0.111,320043.7,0,74,758
293358.25,0.036,0.321,0.127,140928.42,0,97,818
306963.56,0.041,0.276,0.207,294190.52,0,85,798
287841.03,0.024,0.341,0.161,99109.18,0,117,800
439697.67,0.042,0.405,0.082,512014.11,0,116,812
309084.25,0.026,0.349,0.175,83131.27,0,81,771
480414.08,0.029,0.347,0.186,255062.07,0,81,768
486315.65,0.038,0.392,0.07,514917.43,0,83,761
498578.73,0.048,0.351,0.141,461325.11,0,85,771
366442.35,0.038,0.347,0.144,365367.03,0,91,801
479211.95,0.022,0.353,0.07,258309.66,0,120,808
460743.15,0.037,0.279,0.138,95340.96,0,107,778
493873.48,0.034,0.411,0.174,261002.63,0,104,795
494335.26,0.046,0.28,0.157,528616.53,0,109,797
299597.14,0.048,0.338,0.196,165234.59,0,99,795
485087.46,0.022,0.389,0.191,336574.71,0,86,806
515674.29,0.027,0.329,0.168,558615.4,0,85,812
479056.64,0.042,0.438,0.147,249309.7,0,77,817
298303.35,0.034,0.36,0.153,261773.0,0,75,776
309179.07,0.046,0.367,0.137,286048.04,0,99,794
303437.26,0.025,0.33,0.165,178288.72,0,91,781
303480.44,0.045,0.342,0.154,296830.39,0,99,786
302118.98,0.042,0.373,0.117,358150.3,0,96,838
298955.83,0.04,0.315,0.081,204739.1,0,81,794
445838.66,0.022,0.383,0.185,482799.59,0,74,829
506631.74,0.02,0.361,0.163,336892.44,0,98,827
291497.93,0.048,0.424,0.175,92921.18,0,82,804
401511.67,0.048,0.425,0.222,306518.6,0,110,797
399587.53,0.04,0.346,0.086,367188.81,0,90,813
481018.62,0.047,0.411,0.169,155751.32,0,73,788
311350.67,0.031,0.313,0.13,85736.24,0,78,762
310628.53,0.035,0.338,0.101,212153.81,0,113,789
444934.08,0.029,0.399,0.166,94992.64,0,96,776
376454.61,0.031,0.327,0.085,401761.98,0,91,816
495499.33,0.035,0.309,0.19,103874.88,0,109,828
310417.82,0.038,0.38,0.137,293606.56,0,79,818
366364.23,0.038,0.335,0.275,202180.24,0,87,808
355965.35,0.036,0.346,0.106,433631.92,0,106,792
392562.0,0.035,0.399,0.088,205976.64,0,103,800
292297.11,0.048,0.327,0.038,155073.97,0,75,792
515509.23,0.022,0.368,0.096,199217.81,0,109,836
334731.43,0.034,0.356,0.163,263569.69,0,99,827
503561.18,0.032,0.45,0.108,354402.99,1,105,734
368009.6,0.041,0.324,0.022,245393.17,0,106,796
518669.27,0.044,0.295,0.182,176582.19,0,87,819
311179.09,0.044,0.456,0.176,208290.13,0,116,794
498692.82,0.028,0.352,0.125,179540.69,0,113,808
293662.65,0.031,0.372,0.119,95192.25,0,100,786
485292.48,0.045,0.391,0.201,234089.12,0,114,752
501637.04,0.049,0.303,0.118,505193.84,0,112,781
401507.69,0.045,0.353,0.195,476617.83,0,116,790
325652.54,0.026,0.302,0.218,303074.47,0,100,820
484106.16,0.03,0.382,0.082,433910.78,0,96,820
465618.5,0.022,0.357,0.172,301739.89,0,107,819
507599.0,0.039,0.324,0.251,380655.0,0,86,805
521237.54,0.03,0.345,0.185,576817.61,0,89,780
523173.24,0.025,0.321,0.116,341656.97,0,79,827
319808.51,0.023,0.382,0.08,128575.21,0,72,793
310384.43,0.038,0.339,0.18,310551.67,0,85,796
323773.74,0.047,0.271,0.126,264882.28,1,92,754
505607.62,0.027,0.355,0.093,479525.1,0,102,772
305709.92,0.039,0.405,0.176,126198.03,0,104,783
505884.74,0.03,0.383,0.147,467489.69,0,84,797
416558.52,0.023,0.345,0.187,475004.83,1,91,734
480821.84,0.033,0.316,0.11,638040.28,0,116,861
491488.01,0.032,0.272,0.053,254067.95,0,97,808
409142.74,0.029,0.292,0.075,161379.82,0,73,799
484465.46,0.022,0.282,0.146,206300.65,0,111,777
331619.35,0.03,0.357,0.178,356583.69,0,119,794
510886.13,0.042,0.294,0.195,268161.17,0,78,825
311932.82,0.039,0.388,0.173,63100.01,0,95,793
325119.94,0.043,0.429,0.161,148457.8,0,109,796
495966.52,0.023,0.315,0.226,468882.0,0,82,794
332982.92,0.049,0.392,0.147,222064.62,0,77,796
472498.56,0.023,0.367,0.056,263893.08,0,111,846
513241.59,0.03,0.376,0.159,334932.27,0,88,815
314753.62,0.04,0.342,0.178,150581.89,0,92,789
340302.31,0.042,0.346,0.102,63628.57,0,104,764
423817.53,0.032,0.28,0.114,452632.17,0,106,815
324566.25,0.044,0.297,0.147,390131.9,0,118,780
321329.17,0.049,0.349,0.221,323717.64,0,95,808
324048.03,0.028,0.415,0.121,278644.95,0,115,810
312302.72,0.042,0.343,0.189,424250.52,0,110,820
497593.67,0.025,0.441,0.165,193079.91,0,105,788
304603.87,0.037,0.361,0.141,154011.27,0,86,806
493780.83,0.045,0.312,0.164,513936.51,0,106,801
292394.42,0.038,0.331,0.102,103314.61,0,99,787
468723.04,0.023,0.346,0.189,442998.23,0,95,802
463282.81,0.048,0.332,0.212,561087.47,0,112,811
496394.24,0.035,0.388,0.164,478098.62,0,72,787
302212.35,0.043,0.285,0.156,271165.88,0,118,807
402418.07,0.032,0.283,0.193,215193.81,0,110,780
522641.06,0.044,0.328,0.104,559987.68,0,83,793
294620.45,0.033,0.481,0.168,305596.06,0,85,807
433081.11,0.047,0.341,0.056,329753.39,0,107,802
407106.77,0.036,0.378,0.121,237700.05,0,100,790
355958.87,0.025,0.312,0.046,300192.52,0,88,784
393857.42,0.037,0.337,0.142,142684.96,0,93,801
480996.58,0.02,0.355,0.156,346658.08,0,81,760
313739.87,0.041,0.294,0.17,175596.06,0,108,823
501654.45,0.045,0.321,0.173,195909.3,0,105,761
514641.44,0.036,0.349,0.125,583098.69,0,90,793
435487.96,0.043,0.406,0.115,209524.26,0,79,786
336554.77,0.022,0.386,0.107,169608.17,0,114,775
483597.24,0.026,0.365,0.14,412290.0,0,88,775
312025.81,0.036,0.409,0.163,390237.6,0,93,826
286330.05,0.026,0.333,0.265,288431.06,0,109,791
288241.31,0.044,0.374,0.216,375908.8,0,83,796
504162.87,0.041,0.335,0.179,123095.95,0,75,761
482471.69,0.046,0.423,0.18,465666.83,0,96,769
516772.9,0.048,0.386,0.14,159457.58,0,82,812
304797.83,0.033,0.315,0.174,375829.65,0,113,801
518468.49,0.03,0.367,0.141,334165.15,1,118,763
302895.31,0.037,0.439,0.119,62535.94,0,98,797
394990.96,0.028,0.424,0.105,448842.51,0,102,767
287520.62,0.05,0.344,0.18,128764.83,0,73,832
487382.68,0.038,0.321,0.203,390062.47,0,75,809
293535.36,0.022,0.342,0.176,265544.48,0,80,781
296872.6,0.027,0.483,0.062,236028.38,0,107,785
287917.83,0.044,0.402,0.132,106495.96,0,113,773
486555.21,0.021,0.379,0.11,281455.49,0,89,792
465892.91,0.036,0.376,0.099,270380.04,0,107,767
348998.79,0.021,0.375,0.052,178957.6,0,107,776
306907.31,0.045,0.338,0.109,324058.96,0,112,817
324794.02,0.028,0.275,0.0,352653.87,1,85,707
291373.86,0.021,0.407,0.216,320117.48,0,116,750
345582.69,0.032,0.422,0.117,383074.5,0,91,786
495562.29,0.043,0.303,0.186,170220.61,0,96,791
309260.35,0.044,0.302,0.175,248035.37,0,79,807
319276.41,0.044,0.365,0.165,97249.34,0,90,760
482101.98,0.029,0.358,0.075,407711.99,0,87,812
386805.38,0.031,0.317,0.171,180757.84,0,98,846
502060.18,0.029,0.282,0.126,379765.57,0,105,790
369717.55,0.043,0.447,0.215,172928.71,0,116,827
416853.7,0.039,0.353,0.268,279166.93,0,112,813
323846.02,0.031,0.342,0.202,240363.44,0,94,798
314956.86,0.042,0.256,0.186,331932.8,0,80,799
517708.99,0.032,0.335,0.013,483962.42,0,81,804
386054.03,0.033,0.386,0.216,163654.9,0,115,817
305372.55,0.032,0.35,0.165,190907.3,0,103,811
302111.47,0.022,0.363,0.153,86676.19,0,108,777
427032.0,0.024,0.434,0.161,232133.54,0,96,808
467656.63,0.03,0.327,0.196,356591.72,0,78,775
308559.44,0.036,0.439,0.127,274296.62,1,77,741
488092.92,0.049,0.292,0.16,373332.05,1,89,770
488321.63,0.022,0.335,0.177,466628.46,0,80,767
313314.51,0.028,0.438,0.128,205950.62,0,97,785
417094.82,0.04,0.371,0.188,420058.73,0,120,800
499770.8,0.045,0.356,0.205,134431.63,1,73,777
413813.97,0.023,0.375,0.071,185054.86,1,98,726
437131.58,0.039,0.375,0.195,462562.88,0,103,815
397806.44,0.029,0.364,0.056,186703.57,0,72,807
504199.51,0.024,0.441,0.099,452331.75,0,77,795
286106.89,0.022,0.331,0.182,251230.42,0,111,771
403682.36,0.036,0.336,0.119,484054.46,0,102,792
332766.66,0.041,0.409,0.199,114568.39,0,118,773
478788.73,0.04,0.436,0.072,330766.34,0,89,807
456310.76,0.047,0.32,0.119,489112.09,0,113,796
522056.9,0.029,0.401,0.236,434475.02,1,88,754
478022.72,0.022,0.432,0.09,580439.07,0,102,795
290392.74,0.045,0.353,0.201,284774.41,0,117,798
487986.99,0.035,0.342,0.119,263130.53,1,99,764
385056.3,0.038,0.294,0.15,309953.02,0,96,827
372984.07,0.044,0.35,0.164,288427.88,0,119,812
356982.63,0.035,0.341,0.219,362835.52,0,117,832
314269.43,0.044,0.371,0.209,281385.11,0,75,789
492620.32,0.045,0.377,0.074,309541.03,0,102,778
286289.26,0.045,0.305,0.056,250055.76,0,108,777
338438.73,0.023,0.251,0.068,304249.15,0,99,804
475493.02,0.046,0.271,0.079,118281.13,0,117,790
293838.93,0.027,0.43,0.172,204505.21,0,72,771
345833.47,0.033,0.333,0.16,88977.92,0,88,803
396536.9,0.023,0.34,0.164,274260.09,0,99,759
514996.12,0.023,0.414,0.117,475537.73,0,118,826
300802.82,0.038,0.305,0.043,121143.18,0,82,799
478738.68,0.042,0.356,0.231,454304.55,0,110,778
435740.22,0.02,0.378,0.176,360915.65,0,77,825
436294.11,0.025,0.338,0.152,107047.42,0,80,818
513085.71,0.023,0.327,0.097,452404.75,0,75,816
302246.61,0.039,0.414,0.163,160958.94,0,89,793
293542.98,0.041,0.353,0.161,117819.71,0,89,811
296302.52,0.042,0.263,0.19,320114.97,1,119,729
295178.54,0.041,0.366,0.1,176794.77,0,94,816
351150.25,0.045,0.29,0.167,160113.36,0,95,791
520714.72,0.046,0.428,0.12,356002.83,0,81,787
350187.96,0.049,0.335,0.117,323469.8,0,80,812
505109.5,0.027,0.407,0.082,550588.3,0,98,795
302097.65,0.048,0.353,0.198,220347.96,0,76,791
401166.54,0.036,0.364,0.101,189950.13,0,74,809
404623.57,0.045,0.314,0.147,123310.11,0,107,771
441094.18,0.032,0.409,0.05,370025.92,0,92,823
331931.3,0.047,0.357,0.169,378493.7,0,97,805
476230.26,0.044,0.351,0.162,135384.36,0,108,808
308663.71,0.039,0.311,0.172,328914.61,1,92,744
285184.69,0.047,0.446,0.115,125335.19,0,100,804
351903.8,0.024,0.325,0.051,101406.27,0,94,804
513271.23,0.049,0.312,0.063,271779.11,0,120,815
348986.53,0.028,0.422,0.117,155798.05,1,77,738
439952.66,0.041,0.273,0.23,269919.38,0,93,822
361822.37,0.03,0.302,0.126,191552.88,0,89,813
496659.01,0.042,0.315,0.087,650810.01,1,113,762
472633.54,0.029,0.314,0.175,391564.42,0,115,798
524696.26,0.047,0.393,0.093,419142.27,0,100,817
458653.04,0.044,0.438,0.175,434456.01,0,90,800
418756.57,0.04,0.411,0.125,116599.69,0,73,794
361349.87,0.037,0.35,0.118,176033.59,0,113,775
476016.57,0.041,0.328,0.188,305476.97,0,99,803
285897.93,0.038,0.355,0.142,222739.63,0,88,802
516797.33,0.038,0.369,0.081,139748.13,0,102,789
347638.91,0.028,0.364,0.098,240231.57,0,88,820
397240.94,0.033,0.256,0.094,266075.79,0,82,813
303688.98,0.033,0.404,0.203,129238.98,0,96,808
343889.12,0.032,0.377,0.13,190970.72,0,99,815
306474.6,0.049,0.358,0.075,86230.99,0,77,781
466661.93,0.044,0.307,0.218,281683.09,0,104,814
468317.71,0.031,0.351,0.147,500773.52,0,82,804
299934.4,0.036,0.369,0.132,177755.22,0,75,755
420765.46,0.037,0.291,0.145,227684.15,0,98,818
341450.69,0.041,0.385,0.084,161783.14,0,83,777
304289.2,0.048,0.341,0.063,332483.37,0,107,785
373608.9,0.034,0.366,0.16,333763.92,0,92,814
287289.57,0.024,0.388,0.104,147085.63,0,87,871
414986.46,0.025,0.441,0.15,315418.09,0,87,808
426764.39,0.024,0.355,0.108,374405.38,0,109,789
378408.67,0.033,0.344,0.163,351758.53,0,105,779
299146.71,0.042,0.42,0.108,237438.19,0,78,787
304158.2,0.044,0.311,0.137,183071.43,0,119,775
345623.23,0.045,0.375,0.104,210502.47,0,85,807
514420.29,0.041,0.368,0.112,133745.27,0,82,784
304154.73,0.044,0.334,0.188,341387.43,0,88,779
511956.8,0.03,0.356,0.144,228627.86,0,117,777
485833.77,0.047,0.396,0.251,164549.32,0,93,794
367105.41,0.022,0.273,0.229,316787.1,0,99,799
512663.49,0.038,0.417,0.17,628973.6,0,85,815
296416.57,0.044,0.344,0.11,140204.01,0,113,805
379436.1,0.037,0.265,0.081,79219.91,0,79,803
482650.73,0.041,0.31,0.152,320000.79,1,101,743
344161.32,0.037,0.384,0.121,164986.53,0,97,802
482625.41,0.049,0.333,0.249,472135.55,0,112,788
